Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
BR1005-F-KA,Free,0,0,0,0,0,0,0,0
BF1008-K-BG,Free,0,0,0,0,0,0,0,0
BF1008-K-DG,Free,0,0,0,0,0,0,0,0
EG1202-S-BK,Free,0,0,0,0,0,0,0,0
EG1202-XL-BK,Free,0,0,0,0,0,0,0,0
HO0510-L,Free,0,0,0,0,0,0,0,0
HO0510-M,Free,0,0,0,0,0,0,0,0
HO0510-S,Free,0,0,0,0,0,0,0,0
HO0510-XL,Free,0,0,0,0,0,0,0,0
BF1006-K,Free,0,0,0,0,0,0,0,0
BO1007,Free,0,0,0,0,0,0,0,0
BR1005-L-CR,Free,0,0,0,0,0,0,0,0
CH1007-2-BK,Free,0,0,0,0,0,0,0,0
CH1007-4-BK,Free,0,0,0,0,0,0,0,0
JB1003-WH,Free,0,0,0,0,0,0,0,0
T4498-BKx2,Free,0,0,0,0,0,0,0,0
T4498-WHx2,Free,0,0,0,0,0,0,0,0
VM1006-WH,Free,0,0,0,0,0,0,0,0
BF1008-D-DG,Free,0,0,0,0,0,0,0,0
BF1008-Q-BG,Free,0,0,0,0,0,0,0,0
BF1008-Q-DG,Free,0,0,0,0,0,0,0,0
BO1008,Free,0,0,0,0,0,0,0,0
CD1003-140X230-TP,Free,0,0,0,0,0,0,0,0
CH1009-4-BK,Free,0,0,0,0,0,0,0,0
E0054-8-CH,Free,0,0,0,0,0,0,0,0
SC1002-BK,Free,0,0,0,0,0,0,0,0
SC1002-CF,Free,0,0,0,0,0,0,0,0
SC1002-KA,Free,0,0,0,0,0,0,0,0
SC1003-CF,Free,0,0,0,0,0,0,0,0
SC1003-KA,Free,0,0,0,0,0,0,0,0
SC1004-BK,Free,0,0,0,0,0,0,0,0
SC1004-CF,Free,0,0,0,0,0,0,0,0
SC1004-GR,Free,0,0,0,0,0,0,0,0
SC1004-KA,Free,0,0,0,0,0,0,0,0
TA1015-OA,Free,0,0,0,0,0,0,0,0
TB1004,Free,0,0,0,0,0,0,0,0
FU6002-WH,Free,0,0,0,0,0,0,0,0
E0045-NOPIN,Free,0,0,0,0,0,0,0,0
E0045-NOPIN-BK,Free,0,0,0,0,0,0,0,0
T4463-BK,Free,0,0,0,0,0,0,0,0
T4463-NOPIN,Free,0,0,0,0,0,0,0,0
T4463-NOPIN-BK,Free,0,0,0,0,0,0,0,0
BF1004-KS-BK,Free,0,0,0,0,0,0,0,0
JB1002-BK,Free,0,0,0,0,0,0,0,0
JB1003-BK,Free,0,0,0,0,0,0,0,0
JB1006-BK,Free,0,0,0,0,0,0,0,0
JB1007-BK,Free,0,0,0,0,0,0,0,0
JB1007-LED-BK,Free,0,0,0,0,0,0,0,0
JB1007-LED-WH,Free,0,0,0,0,0,0,0,0
JB1009-WH,Free,0,0,0,0,0,0,0,0
JB1010-LED-WH,Free,0,0,0,0,0,0,0,0
E0045-BK,Free,0,0,0,0,0,0,0,0
CH1009-4-WH,Free,0,0,0,0,0,0,0,0
EG1206-2S-BK,Free,0,0,0,0,0,0,0,0
EG1206-2S-CY,Free,0,0,0,0,0,0,0,0
EG1206-2S-SA,Free,0,0,0,0,0,0,0,0
EG1206-3S-BK,Free,0,0,0,0,0,0,0,0
EG1206-3S-CY,Free,0,0,0,0,0,0,0,0
EG1206-3S-SA,Free,0,0,0,0,0,0,0,0
EG1206-4S-BK,Free,0,0,0,0,0,0,0,0
EG1206-4S-CY,Free,0,0,0,0,0,0,0,0
EG1206-4S-SA,Free,0,0,0,0,0,0,0,0
GAMINGSET-KRD-CHAIRSL,Free,0,0,0,0,0,0,0,0
GAMINGSET-ZBK-CHAIRSL,Free,0,0,0,0,0,0,0,0
MP1005-BAM-D,Free,0,0,0,0,0,0,0,0
MP1005-BAM-K,Free,0,0,0,0,0,0,0,0
MP1005-BAM-KS,Free,0,0,0,0,0,0,0,0
MP1005-BAM-Q,Free,0,0,0,0,0,0,0,0
RL1003-1.7M-WH,Free,0,0,0,0,0,0,0,0
RL1004-1.7M-WH,Free,0,0,0,0,0,0,0,0
SC1024-GY,Free,0,0,0,0,0,0,0,0
SC1024-NV,Free,0,0,0,0,0,0,0,0
SC1024-SA,Free,0,0,0,0,0,0,0,0
OF1018-BK,Free,0,0,0,0,0,0,0,0
OF1018-BK-NOP,Free,0,0,0,0,0,0,0,0
OF1018-BR,Free,0,0,0,0,0,0,0,0
OF1018-BR-NOP,Free,0,0,0,0,0,0,0,0
OF1019-BK,Free,0,0,0,0,0,0,0,0
OF1019-GI,Free,0,0,0,0,0,0,0,0
CH1007-2-GY,Free,0,0,0,0,0,0,0,0
LI0386,Free,0,0,0,0,0,0,0,0
VM1011-BK,Free,0,0,0,0,0,0,0,0
VM1014-WH,Free,0,0,0,0,0,0,0,0
DH1023-BK,Free,0,0,0,0,0,0,0,0
SC1002-R-BGKA,Free,0,0,0,0,0,0,0,0
SC1002-R-CFKA,Free,0,0,0,0,0,0,0,0
SC1022-BK,Free,0,0,0,0,0,0,0,0
SC1022-GI,Free,0,0,0,0,0,0,0,0
SC1022-GY,Free,0,0,0,0,0,0,0,0
SC1022-TL,Free,0,0,0,0,0,0,0,0
SC1022-WI,Free,0,0,0,0,0,0,0,0
SC1023-BK,Free,0,0,0,0,0,0,0,0
SC1023-CF,Free,0,0,0,0,0,0,0,0
SC1023-GI,Free,0,0,0,0,0,0,0,0
SC1023-GY,Free,0,0,0,0,0,0,0,0
SC1023-TL,Free,0,0,0,0,0,0,0,0
SC1023-WI,Free,0,0,0,0,0,0,0,0
BF1004-D-BK,Free,0,0,0,0,0,0,0,0
BF1004-K-BK,Free,0,0,0,0,0,0,0,0
BR1013,Free,0,0,0,0,0,0,0,0
BR1013x2,Free,0,0,0,0,0,0,0,0
BR1016-S-BR1001-2,Free,0,0,0,0,0,0,0,0
BS1005-2,Free,0,0,0,0,0,0,0,0
BS1005-3,Free,0,0,0,0,0,0,0,0
CH1007-2-WH,Free,0,0,0,0,0,0,0,0
CH1007-4-GR,Free,0,0,0,0,0,0,0,0
CH1021-BEx2,Free,0,0,0,0,0,0,0,0
CH1021-GR,Free,0,0,0,0,0,0,0,0
CH1021-GRx2,Free,0,0,0,0,0,0,0,0
CH1024-CR,Statebased,,,,,,,,
CH1024-GR,Statebased,,,,,,,,
E0045,Free,0,0,0,0,0,0,0,0
E0107-BK,Free,0,0,0,0,0,0,0,0
E0156-D,Free,0,0,0,0,0,0,0,0
E0156-K,Free,0,0,0,0,0,0,0,0
E0156-Q,Free,0,0,0,0,0,0,0,0
EA0237-4,Free,0,0,0,0,0,0,0,0
EA0237-4W,Free,0,0,0,0,0,0,0,0
EA0248,Free,0,0,0,0,0,0,0,0
EB0503-K,Free,0,0,0,0,0,0,0,0
EB0503-Q,Free,0,0,0,0,0,0,0,0
EB1001-BK,Free,0,0,0,0,0,0,0,0
EC0105-BR,Free,0,0,0,0,0,0,0,0
EC0106-BR,Free,0,0,0,0,0,0,0,0
EG1202-L-BK,Free,0,0,0,0,0,0,0,0
EG1202-L-CR,Free,0,0,0,0,0,0,0,0
EG1202-L-GR,Free,0,0,0,0,0,0,0,0
EG1202-L-TP,Free,0,0,0,0,0,0,0,0
EG1202-M-BG,Free,0,0,0,0,0,0,0,0
EG1202-M-BK,Free,0,0,0,0,0,0,0,0
EG1202-M-GR,Free,0,0,0,0,0,0,0,0
EG1202-M-TP,Free,0,0,0,0,0,0,0,0
EG1202-S-CR,Free,0,0,0,0,0,0,0,0
